DATE,RPWB56A,RPWB55A,RPWB72A,RPWB67A,RPWB69A,RPWZ4TJ,RPWZ4TK,RPWZ4TL,RPWZ4TM,RPWZOQ4,RPWZ4TN,RPWB59A
04 Jan 2023,930808,87859,370,0,3272,3272,0,17798,856449,182401,8467,8466
11 Jan 2023,923908,86716,370,0,3252,3252,0,17802,856449,182401,8634,8921
18 Jan 2023,917897,86285,370,5,3257,3257,0,17806,856449,182361,8054,8255
25 Jan 2023,911121,86032,370,10,3262,3262,0,17796,843736,182361,7675,7797
01 Feb 2023,916427,85901,370,1500,3262,3262,0,17795,843736,181968,7896,8411
08 Feb 2023,917491,85910,370,0,3262,3262,0,17799,843736,181463,8308,9407
15 Feb 2023,912797,85832,370,15,2945,2945,0,17804,843736,180713,9307,10178
22 Feb 2023,908222,85878,370,0,2945,2945,0,17808,843736,180703,9545,10374
01 Mar 2023,909993,85886,370,5,2955,2955,0,17786,843736,180503,11866,12277
08 Mar 2023,910961,85964,370,1010,2955,2955,0,17726,843736,180493,11963,12091
15 Mar 2023,905714,85930,370,15,2695,2695,0,17731,843736,180485,11807,12149
22 Mar 2023,902541,85952,370,5,2695,2695,0,17735,843736,180465,11585,11603
29 Mar 2023,908490,86006,370,10,2705,2705,0,17739,843736,175925,11578,11594
05 Apr 2023,904353,86345,370,0,2715,2715,0,17744,843736,175920,11559,11401
12 Apr 2023,902733,86704,370,0,2125,2125,0,17748,843736,175920,11111,11029
19 Apr 2023,890440,86204,370,0,2125,2125,0,17753,843736,175915,11121,11515
26 Apr 2023,880537,86239,370,10,2125,2125,0,17740,823792,175904,11533,11368
03 May 2023,881208,86688,370,31,2135,2135,0,17745,823792,175902,9920,9719
10 May 2023,879491,86846,370,20,970,970,0,17749,823792,175887,9854,9652
17 May 2023,887177,86696,370,6,990,990,0,17753,823792,175821,10302,10018
24 May 2023,883747,86697,370,5,995,995,0,17688,823792,173810,10270,10058
31 May 2023,884961,86903,370,5,995,995,0,17425,823792,173369,9833,9703
07 Jun 2023,882324,86907,370,5,995,995,0,17372,823792,173369,9639,9555
14 Jun 2023,871459,86903,370,5,270,270,0,17377,823792,173369,9847,9376
21 Jun 2023,873124,86699,370,0,290,290,0,17381,823792,173369,9700,9234
28 Jun 2023,877151,86732,370,0,300,300,0,17385,823792,171209,9771,9301
05 Jul 2023,874008,87006,370,0,325,325,0,17389,823792,169032,9783,9388
12 Jul 2023,871612,86984,370,0,188,188,0,17393,823792,169032,9716,9248
19 Jul 2023,849116,86845,370,15,193,193,0,17397,804096,169028,9954,9485
26 Jul 2023,840494,86889,370,1200,208,208,0,16891,804096,168771,9906,9443
02 Aug 2023,838987,86824,370,305,223,223,0,16888,804096,168077,10275,9589
09 Aug 2023,845412,86799,370,300,233,233,0,16892,804096,168044,10259,9579
16 Aug 2023,842130,86687,370,150,223,223,0,16896,804096,167832,10070,9554
23 Aug 2023,835805,86671,370,155,223,223,0,16900,804096,167732,10186,9685
30 Aug 2023,835389,86864,370,150,238,238,0,16904,804096,167582,10378,9815
06 Sep 2023,822697,86685,370,160,253,253,0,16896,804096,167432,11171,10078
13 Sep 2023,817561,86608,370,155,273,273,0,16187,804096,167404,11009,10228
20 Sep 2023,816485,86540,370,0,288,288,0,16191,804096,163301,10685,10081
27 Sep 2023,824246,86613,370,15,288,288,0,16195,804096,162611,10634,10083
04 Oct 2023,819139,86629,370,500,343,343,0,16199,804096,159493,10719,10100
11 Oct 2023,818228,86597,370,510,353,353,0,16203,804096,159493,10358,9751
18 Oct 2023,817923,86670,370,505,853,853,0,16207,804096,159491,10855,10118
25 Oct 2023,806920,86641,370,750,903,903,0,16194,757922,159171,10926,10209
01 Nov 2023,804656,86787,370,500,913,913,0,16198,757922,159028,11037,10149
08 Nov 2023,808590,86901,370,500,963,963,0,16202,757922,159023,10706,10102
15 Nov 2023,808154,86965,370,610,943,943,0,16206,757922,158918,10980,10552
22 Nov 2023,802692,87127,370,610,1013,1013,0,16210,757922,158826,11371,10998
29 Nov 2023,806571,87333,370,1805,1013,1013,0,16213,757922,158518,11467,10827
06 Dec 2023,809849,87556,370,2460,1113,1113,0,16233,757922,157618,10627,10180
13 Dec 2023,800583,87887,370,4000,1055,1055,0,16176,757922,154733,10694,10241
20 Dec 2023,804386,88512,370,3171,1060,1060,0,16188,757922,153521,10303,10090
27 Dec 2023,801283,89254,370,2200,1225,1225,0,16192,757922,153379,10469,10022
03 Jan 2024,800368,88468,370,2200,1225,1225,0,16196,757922,153379,10110,9657
10 Jan 2024,803419,87507,370,2100,1680,1680,0,16200,757922,153372,11029,10551
17 Jan 2024,798858,87082,370,700,1709,1709,0,16204,757922,153363,10999,10650
24 Jan 2024,786166,86954,370,2365,1709,1709,0,16195,744305,152672,10802,10880
31 Jan 2024,781597,86814,370,1970,1869,1869,0,16194,744305,152042,11297,10984
07 Feb 2024,790284,86860,370,2580,1869,1869,0,16198,744305,152042,10620,10267
14 Feb 2024,788010,86826,370,2518,1839,1839,0,16202,744305,152004,10988,11157
21 Feb 2024,787697,86914,370,2500,1839,1839,0,16206,744305,151584,10316,10434
28 Feb 2024,785589,87004,370,1105,1839,1839,0,16210,744305,151339,12201,12433
06 Mar 2024,798812,87223,370,1100,1839,1839,0,16208,744305,151124,12949,13286
13 Mar 2024,794895,87292,370,2115,2229,2229,0,16156,744305,150352,11837,11530
20 Mar 2024,774666,87329,370,2747,2234,2234,0,16160,744305,144396,11475,11455
27 Mar 2024,791963,87677,370,3530,2239,2239,0,16164,744305,144253,11796,11472
03 Apr 2024,794388,88017,370,5150,2279,2279,0,16168,744305,144185,11760,11560
10 Apr 2024,793042,87717,370,4820,1644,1644,0,16172,744305,144185,11479,11783
17 Apr 2024,792333,87615,370,5384,1649,1649,0,16176,744305,143923,11477,11357
24 Apr 2024,770374,87620,370,5355,1654,1654,0,15666,744305,143923,12297,11892
01 May 2024,759970,87837,370,7587,1654,1654,0,15669,728144,142990,12520,12936
08 May 2024,763642,88078,370,12212,1664,1664,0,15672,728144,142635,13288,13147
