date,FCMYGBAG10D
2023-08-10,4.036
2023-08-11,4.101
2023-08-14,4.185
2023-08-15,4.25
2023-08-16,4.2
2023-08-17,4.312
2023-08-18,4.223
2023-08-21,4.254
2023-08-22,4.26
2023-08-23,4.185
2023-08-24,4.106
2023-08-25,4.151
2023-08-28,4.132
2023-08-29,4.091
2023-08-30,4.063
2023-08-31,4.018
2023-09-01,3.998
2023-09-04,4.083
2023-09-05,4.127
2023-09-06,4.122
2023-09-07,4.152
2023-09-08,4.077
2023-09-11,4.154
2023-09-12,4.161
2023-09-13,4.143
2023-09-14,4.109
2023-09-15,4.098
2023-09-18,4.207
2023-09-19,4.161
2023-09-20,4.211
2023-09-21,4.295
2023-09-22,4.332
2023-09-25,4.307
2023-09-26,4.394
2023-09-27,4.37
2023-09-28,4.449
2023-09-29,4.479
2023-10-03,4.531
2023-10-04,4.652
2023-10-05,4.562
2023-10-06,4.534
2023-10-09,4.512
2023-10-10,4.449
2023-10-11,4.421
2023-10-12,4.364
2023-10-13,4.458
2023-10-16,4.451
2023-10-17,4.542
2023-10-18,4.644
2023-10-19,4.778
2023-10-20,4.742
2023-10-23,4.778
2023-10-24,4.685
2023-10-25,4.715
2023-10-26,4.869
2023-10-27,4.809
2023-10-30,4.869
2023-10-31,4.924
2023-11-01,4.942
2023-11-02,4.786
2023-11-03,4.718
2023-11-06,4.718
2023-11-07,4.69
2023-11-08,4.579
2023-11-09,4.528
2023-11-10,4.618
2023-11-13,4.666
2023-11-14,4.661
2023-11-15,4.53
2023-11-16,4.55
2023-11-17,4.465
2023-11-20,4.506
2023-11-21,4.447
2023-11-22,4.446
2023-11-23,4.481
2023-11-24,4.545
2023-11-27,4.564
2023-11-28,4.495
2023-11-29,4.361
2023-11-30,4.411
2023-12-01,4.49
2023-12-04,4.447
2023-12-05,4.412
2023-12-06,4.283
2023-12-07,4.338
2023-12-08,4.294
2023-12-11,4.339
2023-12-12,4.327
2023-12-13,4.287
2023-12-14,4.133
2023-12-15,4.14
2023-12-18,4.057
2023-12-19,4.111
2023-12-20,4.046
2023-12-21,4.017
2023-12-22,4.007
2023-12-27,3.973
