date,FCMYGBAG3D
2023-08-10,3.775
2023-08-11,3.825
2023-08-14,3.903
2023-08-15,3.96
2023-08-16,3.911
2023-08-17,3.969
2023-08-18,3.889
2023-08-21,3.898
2023-08-22,3.906
2023-08-23,3.866
2023-08-24,3.809
2023-08-25,3.849
2023-08-28,3.858
2023-08-29,3.821
2023-08-30,3.783
2023-08-31,3.735
2023-09-01,3.727
2023-09-04,3.794
2023-09-05,3.803
2023-09-06,3.792
2023-09-07,3.841
2023-09-08,3.781
2023-09-11,3.832
2023-09-12,3.843
2023-09-13,3.852
2023-09-14,3.828
2023-09-15,3.832
2023-09-18,3.906
2023-09-19,3.885
2023-09-20,3.938
2023-09-21,4.041
2023-09-22,4.029
2023-09-25,4.0
2023-09-26,4.056
2023-09-27,4.035
2023-09-28,4.104
2023-09-29,4.078
2023-10-03,4.084
2023-10-04,4.135
2023-10-05,4.033
2023-10-06,3.996
2023-10-09,3.947
2023-10-10,3.921
2023-10-11,3.935
2023-10-12,3.906
2023-10-13,3.944
2023-10-16,3.951
2023-10-17,4.088
2023-10-18,4.169
2023-10-19,4.234
2023-10-20,4.204
2023-10-23,4.214
2023-10-24,4.147
2023-10-25,4.246
2023-10-26,4.334
2023-10-27,4.313
2023-10-30,4.363
2023-10-31,4.403
2023-11-01,4.411
2023-11-02,4.306
2023-11-03,4.277
2023-11-06,4.269
2023-11-07,4.243
2023-11-08,4.156
2023-11-09,4.159
2023-11-10,4.239
2023-11-13,4.286
2023-11-14,4.287
2023-11-15,4.172
2023-11-16,4.172
2023-11-17,4.086
2023-11-20,4.124
2023-11-21,4.094
2023-11-22,4.084
2023-11-23,4.141
2023-11-24,4.19
2023-11-27,4.217
2023-11-28,4.158
2023-11-29,4.012
2023-11-30,4.012
2023-12-01,4.07
2023-12-04,4.031
2023-12-05,3.99
2023-12-06,3.883
2023-12-07,3.922
2023-12-08,3.902
2023-12-11,3.952
2023-12-12,3.942
2023-12-13,3.935
2023-12-14,3.748
2023-12-15,3.782
2023-12-18,3.706
2023-12-19,3.762
2023-12-20,3.704
2023-12-21,3.666
2023-12-22,3.655
2023-12-27,3.613
2023-12-28,3.564
2023-12-29,3.605
2024-01-02,3.634
2024-01-03,3.702
2024-01-04,3.701
2024-01-05,3.765
2024-01-08,3.803
2024-01-09,3.735
2024-01-10,3.745
2024-01-11,3.734
2024-01-12,3.678
2024-01-15,3.658
2024-01-16,3.724
2024-01-17,3.78
2024-01-18,3.838
2024-01-19,3.855
2024-01-22,3.827
2024-01-23,3.779
2024-01-24,3.796
2024-01-25,3.795
2024-01-29,3.746
2024-01-30,3.707
2024-01-31,3.558
2024-02-01,3.56
2024-02-02,3.54
2024-02-05,3.665
2024-02-06,3.684
2024-02-07,3.645
2024-02-08,3.662
2024-02-09,3.691
2024-02-12,3.75
2024-02-13,3.758
2024-02-14,3.854
2024-02-15,3.726
2024-02-16,3.775
2024-02-19,3.755
2024-02-20,3.746
2024-02-21,3.726
2024-02-22,3.734
2024-02-23,3.785
2024-02-26,3.714
2024-02-27,3.721
2024-02-28,3.732
2024-02-29,3.702
2024-03-01,3.712
2024-03-04,3.682
2024-03-05,3.682
2024-03-06,3.624
2024-03-07,3.633
2024-03-08,3.602
2024-03-11,3.586
2024-03-12,3.583
2024-03-13,3.647
2024-03-14,3.681
2024-03-15,3.743
2024-03-18,3.736
2024-03-19,3.669
2024-03-20,3.651
2024-03-21,3.699
2024-03-22,3.663
2024-03-25,3.633
2024-03-26,3.64
2024-03-27,3.62
2024-03-28,3.589
2024-04-02,3.653
2024-04-03,3.713
2024-04-04,3.741
2024-04-05,3.681
2024-04-08,3.757
2024-04-09,3.725
2024-04-10,3.697
2024-04-11,3.832
2024-04-12,3.849
2024-04-15,3.841
2024-04-16,3.888
2024-04-17,3.945
2024-04-18,3.864
2024-04-19,3.825
2024-04-22,3.883
2024-04-23,3.846
2024-04-24,4.031
2024-04-26,4.138
2024-04-29,4.106
2024-04-30,4.034
2024-05-01,4.112
2024-05-02,4.062
2024-05-03,4.033
2024-05-06,4.023
2024-05-07,3.914
2024-05-08,3.934
2024-05-09,3.984
2024-05-10,3.965
2024-05-13,3.966
2024-05-14,3.957
2024-05-15,3.957
2024-05-16,3.836
2024-05-17,3.843
2024-05-20,3.874
2024-05-21,3.893
2024-05-22,3.932
2024-05-23,3.93
2024-05-24,3.98
2024-05-27,3.96
2024-05-28,3.951
2024-05-29,4.066
2024-05-30,4.075
2024-05-31,4.045
2024-06-03,4.016
2024-06-04,3.966
2024-06-05,3.927
2024-06-06,3.905
2024-06-07,3.893
2024-06-11,3.972
2024-06-12,3.941
2024-06-13,3.878
2024-06-14,3.81
2024-06-17,3.79
2024-06-18,3.844
2024-06-19,3.895
2024-06-20,3.913
2024-06-21,3.912
2024-06-24,3.929
2024-06-25,3.922
2024-06-26,4.097
2024-06-27,4.161
2024-06-28,4.074
2024-07-01,4.12
2024-07-02,4.13
2024-07-03,4.149
2024-07-04,4.152
2024-07-05,4.15
2024-07-08,4.111
2024-07-09,4.102
2024-07-10,4.074
2024-07-11,4.102
2024-07-12,4.046
2024-07-15,4.036
2024-07-16,3.958
2024-07-17,3.959
2024-07-18,3.975
2024-07-19,3.995
2024-07-22,4.004
2024-07-23,4.042
2024-07-24,4.032
2024-07-25,3.973
2024-07-26,3.973
2024-07-29,3.962
2024-07-30,3.97
2024-07-31,3.746
2024-08-01,3.726
2024-08-02,3.668
2024-08-05,3.554
2024-08-06,3.625
2024-08-07,3.673
2024-08-08,3.641
2024-08-09,3.647
2024-08-12,3.658
2024-08-13,3.618
2024-08-14,3.523
2024-08-15,3.491
2024-08-16,3.559
2024-08-19,3.547
2024-08-20,3.585
2024-08-21,3.526
2024-08-22,3.504
2024-08-23,3.538
2024-08-26,3.439
2024-08-27,3.498
2024-08-28,3.536
2024-08-29,3.544
2024-08-30,3.543
2024-09-02,3.597
2024-09-03,3.587
2024-09-04,3.557
2024-09-05,3.526
