auction,settlement,weeks,maturity,isin,bid,served,btc,nct,total,wa_rate
2015-01-05,2015-01-07,13,2015-04-09,FR0122775358,10450,3999,2.61,695,4694,-0.00048
2015-01-05,2015-01-07,22,2015-06-10,FR0122599451,5475,1894,2.89,348,2242,-0.00043
2015-01-05,2015-01-07,48,2015-12-09,FR0122599485,5505,1493,3.69,258,1751,-0.00049
2015-01-12,2015-01-14,12,2015-04-09,FR0122775358,10950,2991,3.66,498,3489,-0.00107
2015-01-12,2015-01-14,21,2015-06-10,FR0122599451,6689,1594,4.2,237,1831,-0.00101
2015-01-12,2015-01-14,51,2016-01-06,FR0122775457,6300,1995,3.16,241,2236,-0.00097
2015-01-19,2015-01-21,13,2015-04-22,FR0122775366,12950,3594,3.6,380,3974,-0.0015
2015-01-19,2015-01-21,20,2015-06-10,FR0122599451,7378,1594,4.63,169,1763,-0.00148
2015-01-19,2015-01-21,50,2016-01-06,FR0122775457,4845,1593,3.04,70,1663,-0.00141
2015-01-26,2015-01-28,12,2015-04-22,FR0122775366,7380,3593,2.05,0,3593,-0.00122
2015-01-26,2015-01-28,19,2015-06-10,FR0122599451,4570,1693,2.7,0,1693,-0.0012
2015-01-26,2015-01-28,49,2016-01-06,FR0122775457,5020,1898,2.64,0,1898,-0.0012
2015-02-02,2015-02-04,13,2015-05-06,FR0122775374,8095,3489,2.32,0,3489,-0.00103
2015-02-02,2015-02-04,22,2015-07-08,FR0122775424,4885,1594,3.06,64,1658,-0.00104
2015-02-02,2015-02-04,48,2016-01-06,FR0122775457,6265,1496,4.19,123,1619,-0.00111
2015-02-09,2015-02-11,12,2015-05-06,FR0122775374,11725,3492,3.36,369,3861,-0.00108
2015-02-09,2015-02-11,21,2015-07-08,FR0122775424,5630,1355,4.15,71,1426,-0.00111
2015-02-09,2015-02-11,51,2016-02-03,FR0122775465,6360,1993,3.19,117,2110,-0.00117
2015-02-16,2015-02-18,13,2015-05-20,FR0122775382,10290,3993,2.58,50,4043,-0.00117
2015-02-16,2015-02-18,20,2015-07-08,FR0122775424,5045,1492,3.38,41,1533,-0.00116
2015-02-16,2015-02-18,50,2016-02-03,FR0122775465,5665,1300,4.36,44,1344,-0.00121
2015-02-23,2015-02-25,12,2015-05-20,FR0122775382,7185,3591,2,36,3627,-0.00102
2015-02-23,2015-02-25,19,2015-07-08,FR0122775424,4865,1493,3.26,0,1493,-0.00109
2015-02-23,2015-02-25,49,2016-02-03,FR0122775465,5045,1994,2.53,0,1994,-0.00119
