DATE,RPWB56A,RPWB55A,RPWB72A,RPWB67A,RPWB69A,RPWZ4TM,RPWZOQ4,RPWZ4TL,YWMB84C,RPWZ4TJ,RPWZ4TK,RPWZ4TN,RPWB59A,YWMB85C
19 Aug 2020,728975,81288,370,0,25519,679890,28216,13970,,25519,0,4665,4667,
26 Aug 2020,735490,81348,370,0,25634,684467,29823,13974,,25634,0,4645,4647,
02 Sep 2020,732870,81664,370,0,25959,687555,33606,13956,,25959,0,4609,4612,
09 Sep 2020,720904,81695,370,0,9660,693581,34326,13643,,9660,0,4694,4698,
16 Sep 2020,720627,81720,370,0,9675,697143,34724,13646,,9675,0,4692,4695,
17 Sep 2020,,,,,,,,,0,,,,,0
23 Sep 2020,722627,81793,370,0,9750,703269,35223,13667,,9750,0,4782,4784,
30 Sep 2020,731541,82060,370,0,9855,708247,45148,13680,,9855,0,4720,4723,
07 Oct 2020,740430,82108,370,0,9880,710002,45159,13736,,9880,0,4732,4733,
14 Oct 2020,745003,82019,370,0,5905,712948,45716,13804,,5905,0,4681,4682,
21 Oct 2020,747556,82130,370,0,5905,714421,46006,13862,,5905,0,4639,4640,
28 Oct 2020,754089,82304,370,0,5905,717367,48528,13879,,5905,0,4693,4695,
04 Nov 2020,761866,82450,370,0,5910,718840,49645,13915,,5910,0,4700,4702,
05 Nov 2020,,,,,,,,,0,,,,,0
11 Nov 2020,766579,82551,370,0,5860,721786,49654,13947,,5860,0,4620,4621,
18 Nov 2020,768114,82540,370,0,5860,726205,50251,14040,,5860,0,4589,4590,
25 Nov 2020,770004,82708,370,0,5860,730624,50812,14076,,5860,0,4561,4562,
02 Dec 2020,769658,83163,370,0,5873,735042,56166,14097,,5873,0,4578,4580,
09 Dec 2020,767648,83783,370,0,4683,739461,57597,14079,,4683,0,4555,4556,
16 Dec 2020,772728,84306,370,0,4688,743880,67277,14153,,4688,0,4524,4526,
17 Dec 2020,,,,,,,,,0,,,,,104
23 Dec 2020,770889,85246,370,0,4698,744937,68222,14175,,4698,0,4513,4516,
30 Dec 2020,767720,85394,370,0,4698,744937,68243,14179,,4698,0,4487,4489,
06 Jan 2021,770419,85086,370,0,4698,747897,68246,14182,,4698,0,4496,4498,
13 Jan 2021,774916,84408,370,0,4788,752337,68561,14252,,4788,0,4480,4482,
20 Jan 2021,762569,84100,370,0,4788,756777,63996,14303,,4788,0,4476,4478,
27 Jan 2021,778398,84120,370,0,4788,761217,66617,14393,,4788,0,4457,4458,
03 Feb 2021,787529,84258,370,0,4793,765657,69867,14473,,4793,0,4475,4476,
04 Feb 2021,,,,,,,,,0,,,,,0
10 Feb 2021,790078,84220,370,0,4603,767137,69867,14518,,4603,0,4413,4414,
17 Feb 2021,794234,84387,370,0,4603,770096,70107,14592,,4603,0,4413,4414,
24 Feb 2021,796538,84446,370,0,4613,771944,75367,14702,,4613,0,4314,4316,
03 Mar 2021,800486,84749,370,0,4613,776384,75947,14785,,4613,0,5401,5774,
10 Mar 2021,800048,84948,370,0,4018,780824,76217,14785,,4018,0,4783,4356,
17 Mar 2021,803569,85227,370,0,4018,785264,76542,14930,,4018,0,4789,4362,
18 Mar 2021,,,,,,,,,0,,,,,53
24 Mar 2021,799830,85553,370,0,4018,789703,78720,14980,,4018,0,4844,4412,
31 Mar 2021,789937,86016,370,0,4018,794143,74129,15140,,4018,0,4859,4386,
07 Apr 2021,798815,86598,370,0,4018,797103,74734,15144,,4018,0,4826,4396,
14 Apr 2021,807231,86444,370,0,3698,803023,76414,15215,,3698,0,4384,4388,
21 Apr 2021,812387,86413,370,0,3708,807463,76854,15334,,3708,0,4342,4345,
28 Apr 2021,816380,86692,370,0,3708,811903,80694,15446,,3708,0,4343,4346,
05 May 2021,825855,87018,370,0,3723,814862,81246,15572,,3723,0,4348,4350,
06 May 2021,,,,,,,,,0,,,,,0
12 May 2021,827388,87139,370,0,3205,820116,81826,15638,,3205,0,4293,4293,
19 May 2021,827202,87369,370,0,3205,823557,82081,15760,,3205,0,4276,4276,
26 May 2021,831395,87400,370,0,3205,826998,83030,15897,,3205,0,4288,4287,
02 Jun 2021,829338,87778,370,0,3205,829292,83829,15988,,3205,0,4276,4275,
09 Jun 2021,823785,87682,370,0,3090,833879,84194,15250,,3090,0,4288,4288,
16 Jun 2021,831043,87580,370,0,3090,835026,84202,15388,,3090,0,4294,4294,
23 Jun 2021,829624,87503,370,0,3090,837320,84586,15517,,3090,0,4330,4329,
24 Jun 2021,,,,,,,,,0,,,,,8
30 Jun 2021,827556,87586,370,0,3090,838467,89063,15586,,3090,0,4377,4377,
07 Jul 2021,839278,87741,370,0,3090,840761,89663,15633,,3090,0,4392,4393,
14 Jul 2021,843298,87693,370,0,2695,841908,89788,15702,,2695,0,4362,4363,
21 Jul 2021,845535,87746,370,0,2695,844202,90149,15782,,2695,0,4427,4429,
28 Jul 2021,845692,87961,370,0,2695,845349,88392,15850,,2695,0,4366,4367,
04 Aug 2021,847672,88025,370,0,2715,847642,85772,15926,,2715,0,4357,4357,
05 Aug 2021,,,,,,,,,0,,,,,0
11 Aug 2021,850099,88039,370,0,2430,848789,86341,15975,,2430,0,4366,4365,
18 Aug 2021,854622,87916,370,0,2430,851886,87572,16056,,2430,0,4402,4401,
25 Aug 2021,854272,88037,370,0,2430,855327,88507,16151,,2430,0,4392,4392,
01 Sep 2021,856648,88321,370,0,2430,857621,89326,16224,,2430,0,4376,4376,
08 Sep 2021,849425,88220,370,0,2430,862208,91024,15847,,2430,0,4389,4389,
15 Sep 2021,850832,88168,370,0,2305,863355,92349,15944,,2305,0,4360,4362,
22 Sep 2021,851214,88003,370,0,2305,865649,94940,16032,,2305,0,4419,4420,
23 Sep 2021,,,,,,,,,0,,,,,184
29 Sep 2021,859385,88143,370,0,2305,866796,99989,16077,,2305,0,4488,4487,
06 Oct 2021,870471,88039,370,0,2310,869090,105707,16121,,2310,0,4892,4891,
13 Oct 2021,884892,88056,370,0,2280,870237,115023,16221,,2280,0,4974,5560,
20 Oct 2021,905132,88024,370,0,2280,872531,133952,16318,,2280,0,5485,6028,
27 Oct 2021,936233,87993,370,0,2285,873678,166455,16392,,2285,0,6113,6679,
03 Nov 2021,961205,88036,370,0,2296,877119,193381,16396,,2296,0,6815,7073,
04 Nov 2021,,,,,,,,,0,,,,,510
10 Nov 2021,964620,87950,370,0,2306,878265,193381,16400,,2306,0,7166,7238,
17 Nov 2021,967480,87863,370,0,2456,879412,193381,16511,,2456,0,7358,7817,
24 Nov 2021,967111,88028,370,0,2456,883477,193381,16592,,2456,0,8039,8041,
01 Dec 2021,971668,88158,370,0,2456,886918,193381,16636,,2456,0,8047,8116,
08 Dec 2021,973374,88403,370,0,2456,890359,192931,16750,,2456,0,8174,9211,
15 Dec 2021,972344,88635,370,0,2456,893800,192931,16891,,2456,0,9212,9213,
16 Dec 2021,,,,,,,,,0,,,,,1638
22 Dec 2021,969566,89127,370,0,2461,894947,192931,16894,,2461,0,9124,9126,
29 Dec 2021,964517,89334,370,0,2561,894947,192911,16898,,2561,0,9029,9030,
05 Jan 2022,973730,88763,370,0,2561,894947,192911,16902,,2561,0,8975,9010,
12 Jan 2022,978766,87609,370,0,2581,894947,192911,16967,,2581,0,8720,9044,
19 Jan 2022,977698,87140,370,0,2591,894947,192911,17026,,2591,0,7139,7137,
26 Jan 2022,977458,86766,370,0,2666,894947,192911,17099,,2666,0,7061,7474,
02 Feb 2022,974891,86642,370,0,2666,894947,192361,17139,,2666,0,7603,7430,
03 Feb 2022,,,,,,,,,0,,,,,3
09 Feb 2022,977605,86646,370,0,2806,894947,192361,17172,,2806,0,7541,7325,
16 Feb 2022,977523,86488,370,0,2811,894947,192361,17254,,2811,0,7368,7153,
23 Feb 2022,971252,86326,370,0,2811,894947,192361,17337,,2811,0,5723,5581,
02 Mar 2022,963005,86414,370,0,2891,894947,192361,17289,,2891,0,5468,5514,
09 Mar 2022,947146,86563,370,0,2881,867006,192291,16832,,2881,0,5645,5645,
16 Mar 2022,947659,86699,370,0,2896,867006,192291,16932,,2896,0,8701,7185,
17 Mar 2022,,,,,,,,,0,,,,,1
23 Mar 2022,950308,86818,370,0,2896,867006,192291,16983,,2896,0,7321,7473,
30 Mar 2022,951629,86957,370,0,3051,867006,192291,17081,,3051,0,7481,7521,
06 Apr 2022,953120,86943,370,0,3366,866730,192291,17085,,3366,0,7881,7404,
13 Apr 2022,951810,87151,370,0,3480,866730,192291,17177,,3480,0,8001,7297,
20 Apr 2022,951674,87361,370,0,3530,866730,192291,17223,,3530,0,7897,7306,
27 Apr 2022,951536,87224,370,0,3535,866730,192191,17285,,3535,0,8361,7633,
04 May 2022,953449,87326,370,0,3540,866582,192191,17359,,3540,0,8200,7471,
05 May 2022,,,,,,,,,0,,,,,0
11 May 2022,950961,87346,370,0,3380,866582,192191,17389,,3380,0,7454,7726,
18 May 2022,952477,87246,370,0,3395,866582,192191,17427,,3395,0,7676,7684,
25 May 2022,953523,87322,370,0,3670,866582,192191,17515,,3670,0,7183,7192,
01 Jun 2022,949874,88423,370,0,3680,866528,192188,17602,,3680,0,7759,7767,
08 Jun 2022,950105,88048,370,0,3680,866528,192188,17554,,3680,0,7719,7816,
15 Jun 2022,951991,87622,370,0,3575,866528,192188,17617,,3575,0,7864,7957,
16 Jun 2022,,,,,,,,,1460,,,,,315
22 Jun 2022,953157,87384,370,0,3580,866528,192188,17654,,3580,0,7808,8028,
29 Jun 2022,952123,87455,370,0,3590,866528,192188,17673,,3590,0,7910,7930,
06 Jul 2022,953474,87468,370,0,3690,866528,192088,17717,,3690,0,8370,8388,
