date,B2:INM.DS02.NZZC
2023-12-13,5.06
2023-12-14,4.77
2023-12-15,4.82
2023-12-18,4.8
2023-12-19,4.83
2023-12-20,4.79
2023-12-21,4.73
2023-12-22,4.74
2023-12-27,4.69
2023-12-28,4.62
2023-12-29,4.64
2024-01-03,4.7
2024-01-04,4.73
2024-01-05,4.78
2024-01-08,4.83
2024-01-09,4.79
2024-01-10,4.82
2024-01-11,4.85
2024-01-12,4.74
2024-01-15,4.68
2024-01-16,4.71
2024-01-17,4.7
2024-01-18,4.76
2024-01-19,4.77
2024-01-22,4.77
2024-01-23,4.74
2024-01-24,4.79
2024-01-25,4.81
2024-01-26,4.75
2024-01-29,4.75
2024-01-30,4.78
2024-01-31,4.78
2024-02-01,4.77
2024-02-02,4.74
2024-02-05,4.87
2024-02-07,4.99
2024-02-08,5.02
2024-02-09,5.19
2024-02-12,5.22
2024-02-13,5.18
2024-02-14,5.22
2024-02-15,5.14
2024-02-16,5.15
2024-02-19,5.19
2024-02-20,5.18
2024-02-21,5.19
2024-02-22,5.22
2024-02-23,5.27
2024-02-26,5.21
2024-02-27,5.17
2024-02-28,5.01
2024-02-29,4.98
2024-03-01,5.02
2024-03-04,5.03
2024-03-05,5.04
2024-03-06,5.01
2024-03-07,5.0
2024-03-08,4.93
2024-03-11,4.87
2024-03-12,4.87
2024-03-13,4.89
2024-03-14,4.92
2024-03-15,4.96
2024-03-18,4.96
2024-03-19,4.94
2024-03-20,4.87
2024-03-21,4.83
2024-03-22,4.85
2024-03-25,4.82
2024-03-26,4.84
2024-03-27,4.85
2024-03-28,4.79
2024-04-02,4.82
2024-04-03,4.85
2024-04-04,4.87
2024-04-05,4.87
2024-04-08,4.94
2024-04-09,4.97
2024-04-10,4.92
2024-04-11,5.06
2024-04-12,5.14
2024-04-15,5.07
2024-04-16,5.12
2024-04-17,5.18
2024-04-18,5.12
2024-04-19,5.08
2024-04-22,5.14
2024-04-23,5.08
2024-04-24,5.12
2024-04-26,5.2
2024-04-29,5.18
2024-04-30,5.1
2024-05-01,5.09
2024-05-02,5.04
2024-05-03,5.0
2024-05-06,4.99
2024-05-07,4.99
2024-05-08,4.99
2024-05-09,5.04
2024-05-10,5.0
2024-05-13,4.98
2024-05-14,4.96
2024-05-15,4.95
2024-05-16,4.89
2024-05-17,4.9
2024-05-20,4.9
2024-05-21,4.89
2024-05-22,4.98
2024-05-23,5.06
2024-05-24,5.11
