date,MASDM@07
2016-07-31,3027875.0
2016-08-31,3034934.0
2016-09-30,3118346.0
2016-10-31,3159522.0
2016-11-30,3176990.0
2016-12-31,3302280.0
2017-01-31,3318198.0
2017-02-28,3296232.0
2017-03-31,3427555.0
2017-04-30,3565100.0
2017-05-31,3516824.0
2017-06-30,3629451.0
2017-07-31,3629179.0
2017-08-31,3635897.0
2017-09-30,3691272.0
2017-10-31,3703649.0
2017-11-30,3647941.0
2017-12-31,3684894.0
2018-01-31,3685501.0
2018-02-28,3667044.0
2018-03-31,3782379.0
2018-04-30,3884983.0
2018-05-31,3841918.0
2018-06-30,3936205.0
2018-07-31,3936015.0
2018-08-31,3924273.0
2018-09-30,3954799.0
2018-10-31,3969963.0
2018-11-30,3912119.0
2018-12-31,3890091.0
2019-01-31,3885953.0
2019-02-28,3853453.0
2019-03-31,3938837.0
2019-04-30,3981294.0
2019-05-31,3998908.0
2019-06-30,4106442.0
2019-07-31,4057942.0
2019-08-31,4036194.0
2019-09-30,4083260.0
2019-10-31,4105629.0
2019-11-30,4046085.0
2019-12-31,4005471.0
2020-01-31,4032898.0
2020-02-29,4018410.0
2020-03-31,3952560.0
2020-04-30,4121979.0
2020-05-31,4271395.0
2020-06-30,4470196.0
2020-07-31,4574489.0
2020-08-31,4642198.0
2020-09-30,4874600.0
2020-10-31,4893187.0
2020-11-30,4867922.0
2020-12-31,4942273.0
2021-01-31,4959006.0
2021-02-28,4938695.0
2021-03-31,5225703.0
2021-04-30,5330616.0
2021-05-31,5299655.0
2021-06-30,5379106.0
2021-07-31,5388797.0
2021-08-31,5393055.0
2021-09-30,5416620.0
2021-10-31,5416172.0
2021-11-30,5377354.0
2021-12-31,5430418.0
2022-01-31,5390743.0
2022-02-28,5397075.0
2022-03-31,5631785.0
2022-04-30,5621733.0
2022-05-31,5487882.0
2022-06-30,5523049.0
2022-07-31,5407009.0
2022-08-31,5196523.0
2022-09-30,4930198.0
2022-10-31,4953051.0
2022-11-30,4941061.0
2022-12-31,5024843.0
2023-01-31,5247534.0
2023-02-28,5248737.0
2023-03-31,5490781.0
2023-04-30,5529143.0
2023-05-31,5464409.0
2023-06-30,5444448.0
2023-07-31,5428092.0
2023-08-31,5484819.0
2023-09-30,5471928.0
2023-10-31,5517021.0
2023-11-30,5440582.0
2023-12-31,5436785.0
2024-01-31,5436878.0
2024-02-29,5385288.0
2024-03-31,5611820.0
2024-04-30,5703371.0
2024-05-31,5515244.0
2024-06-30,5517714.0
2024-07-31,5484749.0
2024-08-31,5504336.0
2024-09-30,5494207.0
2024-10-31,5483546.0
2024-11-30,5431268.0
2024-12-31,5315099.0
2025-01-31,5284412.0
2025-02-28,5312462.0
2025-03-31,5304326.0
2025-04-30,5431559.0
2025-05-31,5322552.0
2025-06-30,5291144.0
2025-07-31,5244375.0
2025-08-31,5236395.0
2025-09-30,5020768.0
2025-10-31,4976936.0
2025-11-30,4870261.0
2025-12-31,4709445.0
2026-01-31,4681229.0
2026-02-28,4611007.0
2026-03-31,4597433.0
2026-04-30,4694301.0
2026-05-31,4520985.0
2026-06-30,4403645.0
2026-07-31,4380122.0
