date,kind,instrument_jp,instrument_en,offered,start,end,rate,yield,bids,allotted
2025-10-01,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-01,2025-10-02,,0.25,4161.0,4161.0
2025-10-01,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-01,2025-10-02,,0.25,800.0,800.0
2025-10-02,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-02,2025-10-03,,0.25,3492.0,3492.0
2025-10-02,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-02,2025-10-03,,0.25,201.0,201.0
2025-10-03,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-03,2025-10-06,,0.25,1336.0,1333.0
2025-10-03,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-03,2025-10-06,,0.25,5.0,5.0
2025-10-06,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-06,2025-10-07,,0.25,981.0,981.0
2025-10-06,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-06,2025-10-07,,0.25,54.0,54.0
2025-10-07,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-07,2025-10-08,,0.25,2910.0,2910.0
2025-10-07,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-07,2025-10-08,,0.25,79.0,79.0
2025-10-07,usd_funds,米ドル資金供給,US Dollar Funds-Supplying Operations against Pooled Collateral,,2025-10-09,2025-10-16,4.35,,0.0,0.0
2025-10-08,jgb_purch,国債買入（残存期間１年以下）,Outright purchases of JGBs(residual maturity of up to 1 year),1000.0,2025-10-09,,,,4392.0,1001.0
2025-10-08,jgb_purch,国債買入（残存期間１年超３年以下）,Outright purchases of JGBs(residual maturity of more than 1 year and up to 3 years),3000.0,2025-10-09,,,,9597.0,3007.0
2025-10-08,jgb_purch,国債買入（残存期間５年超１０年以下）,Outright purchases of JGBs(residual maturity of more than 5 years and up to 10 years),3050.0,2025-10-09,,,,7472.0,3053.0
2025-10-08,jgb_purch,国債買入（残存期間１０年超２５年以下）,Outright purchases of JGBs(residual maturity of more than 10 years and up to 25 years),1150.0,2025-10-09,,,,4478.0,1151.0
2025-10-08,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-08,2025-10-09,,0.25,2893.0,2893.0
2025-10-08,slf,国債補完供給（国債売現先）・即日（午後オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the afternoon/same-day-start operation,,2025-10-08,2025-10-09,,0.25,0.0,0.0
2025-10-09,slf,国債補完供給（国債売現先）・即日（午前オファー分）,Securities lending facility (Sales of JGSs under repurchase agreements) /offered in the morning/same-day-start operation,,2025-10-09,2025-10-10,,0.25,2156.0,2112.0
