date,MASDM@01
2016-07-31,-35989.0
2016-08-31,6230.0
2016-09-30,-23662.0
2016-10-31,53573.0
2016-11-30,29185.0
2016-12-31,40670.0
2017-01-31,-27014.0
2017-02-28,8480.0
2017-03-31,57133.0
2017-04-30,99428.0
2017-05-31,-12067.0
2017-06-30,39162.0
2017-07-31,5184.0
2017-08-31,9595.0
2017-09-30,-30057.0
2017-10-31,44905.0
2017-11-30,5572.0
2017-12-31,25109.0
2018-01-31,-42037.0
2018-02-28,6047.0
2018-03-31,57101.0
2018-04-30,101591.0
2018-05-31,-26213.0
2018-06-30,41276.0
2018-07-31,-21272.0
2018-08-31,12921.0
2018-09-30,-13882.0
2018-10-31,40387.0
2018-11-30,-555.0
2018-12-31,19515.0
2019-01-31,-43323.0
2019-02-28,3238.0
2019-03-31,51695.0
2019-04-30,92695.0
2019-05-31,-26372.0
2019-06-30,56719.0
2019-07-31,-27469.0
2019-08-31,16093.0
2019-09-30,-22201.0
2019-10-31,44206.0
2019-11-30,4351.0
2019-12-31,10066.0
2020-01-31,-30385.0
2020-02-29,5114.0
2020-03-31,97460.0
2020-04-30,123865.0
2020-05-31,120702.0
2020-06-30,125102.0
2020-07-31,19830.0
2020-08-31,52146.0
2020-09-30,22771.0
2020-10-31,69752.0
2020-11-30,38982.0
2020-12-31,87984.0
2021-01-31,-9417.0
2021-02-28,26389.0
2021-03-31,156005.0
2021-04-30,129737.0
2021-05-31,-2538.0
2021-06-30,45603.0
2021-07-31,-23443.0
2021-08-31,13229.0
2021-09-30,-19078.0
2021-10-31,53736.0
2021-11-30,9100.0
2021-12-31,48529.0
2022-01-31,-9590.0
2022-02-28,84411.0
2022-03-31,187274.0
2022-04-30,102058.0
2022-05-31,-12881.0
2022-06-30,45591.0
2022-07-31,-20902.0
2022-08-31,7764.0
2022-09-30,-26307.0
2022-10-31,71660.0
2022-11-30,8392.0
2022-12-31,26508.0
2023-01-31,-12640.0
2023-02-28,14303.0
2023-03-31,154471.0
2023-04-30,116589.0
2023-05-31,-37106.0
2023-06-30,47447.0
2023-07-31,-25689.0
2023-08-31,26302.0
2023-09-30,-29166.0
2023-10-31,46918.0
2023-11-30,-10536.0
2023-12-31,22129.0
2024-01-31,-32712.0
2024-02-29,7985.0
2024-03-31,127727.0
2024-04-30,117696.0
2024-05-31,-43575.0
2024-06-30,30408.0
2024-07-31,-25026.0
2024-08-31,46004.0
2024-09-30,-12627.0
2024-10-31,28987.0
2024-11-30,6810.0
2024-12-31,7019.0
2025-01-31,-49402.0
2025-02-28,26260.0
2025-03-31,82921.0
2025-04-30,123684.0
2025-05-31,-39072.0
2025-06-30,34400.0
2025-07-31,-28056.0
2025-08-31,58187.0
2025-09-30,-34264.0
2025-10-31,18668.0
2025-11-30,-5072.0
2025-12-31,1814.0
2026-01-31,-52324.0
2026-02-28,3969.0
2026-03-31,96289.0
2026-04-30,137102.0
2026-05-31,-31558.0
2026-06-30,32383.0
2026-07-31,-43513.0
2026-08-31,28840.0
