date,FAAP@01
2016-07-31,4995672.0
2016-08-31,4998457.0
2016-09-30,5019601.0
2016-10-31,5041524.0
2016-11-30,5044040.0
2016-12-31,5095171.0
2017-01-31,5110490.0
2017-02-28,5107843.0
2017-03-31,5130305.0
2017-04-30,5144764.0
2017-05-31,5130403.0
2017-06-30,5137114.0
2017-07-31,5161837.0
2017-08-31,5157107.0
2017-09-30,5167080.0
2017-10-31,5180268.0
2017-11-30,5180691.0
2017-12-31,5219961.0
2018-01-31,5229873.0
2018-02-28,5216960.0
2018-03-31,5230207.0
2018-04-30,5250126.0
2018-05-31,5230218.0
2018-06-30,5247418.0
2018-07-31,5265159.0
2018-08-31,5268838.0
2018-09-30,5286116.0
2018-10-31,5293867.0
2018-11-30,5291803.0
2018-12-31,5344920.0
2019-01-31,5353050.0
2019-02-28,5336486.0
2019-03-31,5353261.0
2019-04-30,5372941.0
2019-05-31,5364051.0
2019-06-30,5362193.0
2019-07-31,5380808.0
2019-08-31,5375416.0
2019-09-30,5389800.0
2019-10-31,5397458.0
2019-11-30,5399013.0
2019-12-31,5436730.0
2020-01-31,5450232.0
2020-02-29,5443270.0
2020-03-31,5458231.0
2020-04-30,5530539.0
2020-05-31,5622228.0
2020-06-30,5699446.0
2020-07-31,5726167.0
2020-08-31,5734727.0
2020-09-30,5736646.0
2020-10-31,5728674.0
2020-11-30,5736551.0
2020-12-31,5775043.0
2021-01-31,5779382.0
2021-02-28,5779495.0
2021-03-31,5799558.0
2021-04-30,5794866.0
2021-05-31,5782381.0
2021-06-30,5776898.0
2021-07-31,5779558.0
2021-08-31,5767247.0
2021-09-30,5771179.0
2021-10-31,5777521.0
2021-11-30,5769118.0
2021-12-31,5807104.0
2022-01-31,5810349.0
2022-02-28,5798967.0
2022-03-31,5826802.0
2022-04-30,5845197.0
2022-05-31,5823733.0
2022-06-30,5849028.0
2022-07-31,5880547.0
2022-08-31,5877644.0
2022-09-30,5905009.0
2022-10-31,5929781.0
2022-11-30,5923052.0
2022-12-31,5963524.0
2023-01-31,5989570.0
2023-02-28,5987450.0
2023-03-31,6003433.0
2023-04-30,6030704.0
2023-05-31,6021120.0
2023-06-30,6031467.0
2023-07-31,6051193.0
2023-08-31,6057398.0
2023-09-30,6075230.0
2023-10-31,6090157.0
2023-11-30,6089067.0
2023-12-31,6142687.0
2024-01-31,6173099.0
2024-02-29,6166342.0
2024-03-31,6194249.0
2024-04-30,6216274.0
2024-05-31,6196795.0
2024-06-30,6223534.0
2024-07-31,6241864.0
2024-08-31,6238766.0
2024-09-30,6240845.0
2024-10-31,6250055.0
2024-11-30,6265434.0
2024-12-31,6328938.0
2025-01-31,6353889.0
2025-02-28,6351541.0
2025-03-31,6366350.0
2025-04-30,6361638.0
2025-05-31,6344852.0
2025-06-30,6394619.0
2025-07-31,6441407.0
2025-08-31,6457174.0
2025-09-30,6478205.0
2025-10-31,6503876.0
2025-11-30,6522848.0
2025-12-31,6603592.0
2026-01-31,6635188.0
2026-02-28,6635369.0
2026-03-31,6670250.0
2026-04-30,6703257.0
2026-05-31,6704231.0
2026-06-30,6757419.0
2026-07-31,6787810.0
2026-08-31,6803427.0
