date,RPWZ4TK
2020-08-12,0.0
2020-08-19,0.0
2020-08-26,0.0
2020-09-02,0.0
2020-09-09,0.0
2020-09-16,0.0
2020-09-23,0.0
2020-09-30,0.0
2020-10-07,0.0
2020-10-14,0.0
2020-10-21,0.0
2020-10-28,0.0
2020-11-04,0.0
2020-11-11,0.0
2020-11-18,0.0
2020-11-25,0.0
2020-12-02,0.0
2020-12-09,0.0
2020-12-16,0.0
2020-12-23,0.0
2020-12-30,0.0
2021-01-06,0.0
2021-01-13,0.0
2021-01-20,0.0
2021-01-27,0.0
2021-02-03,0.0
2021-02-10,0.0
2021-02-17,0.0
2021-02-24,0.0
2021-03-03,0.0
2021-03-10,0.0
2021-03-17,0.0
2021-03-24,0.0
2021-03-31,0.0
2021-04-07,0.0
2021-04-14,0.0
2021-04-21,0.0
2021-04-28,0.0
2021-05-05,0.0
2021-05-12,0.0
2021-05-19,0.0
2021-05-26,0.0
2021-06-02,0.0
2021-06-09,0.0
2021-06-16,0.0
2021-06-23,0.0
2021-06-30,0.0
2021-07-07,0.0
2021-07-14,0.0
2021-07-21,0.0
2021-07-28,0.0
2021-08-04,0.0
2021-08-11,0.0
2021-08-18,0.0
2021-08-25,0.0
2021-09-01,0.0
2021-09-08,0.0
2021-09-15,0.0
2021-09-22,0.0
2021-09-29,0.0
2021-10-06,0.0
2021-10-13,0.0
2021-10-20,0.0
2021-10-27,0.0
2021-11-03,0.0
2021-11-10,0.0
2021-11-17,0.0
2021-11-24,0.0
2021-12-01,0.0
2021-12-08,0.0
2021-12-15,0.0
2021-12-22,0.0
2021-12-29,0.0
2022-01-05,0.0
2022-01-12,0.0
2022-01-19,0.0
2022-01-26,0.0
2022-02-02,0.0
2022-02-09,0.0
2022-02-16,0.0
2022-02-23,0.0
2022-03-02,0.0
2022-03-09,0.0
2022-03-16,0.0
2022-03-23,0.0
2022-03-30,0.0
2022-04-06,0.0
2022-04-13,0.0
2022-04-20,0.0
2022-04-27,0.0
2022-05-04,0.0
2022-05-11,0.0
2022-05-18,0.0
2022-05-25,0.0
2022-06-01,0.0
2022-06-08,0.0
2022-06-15,0.0
2022-06-22,0.0
2022-06-29,0.0
2022-07-06,0.0
2022-07-13,0.0
2022-07-20,0.0
2022-07-27,0.0
2022-08-03,0.0
2022-08-10,0.0
2022-08-17,0.0
2022-08-24,0.0
2022-08-31,0.0
2022-09-07,0.0
2022-09-14,0.0
2022-09-21,0.0
2022-09-28,0.0
2022-10-05,0.0
2022-10-12,0.0
2022-10-19,0.0
2022-10-26,0.0
2022-11-02,0.0
2022-11-09,0.0
2022-11-16,0.0
2022-11-23,0.0
2022-11-30,0.0
2022-12-07,0.0
2022-12-14,0.0
2022-12-21,0.0
2022-12-28,0.0
2023-01-04,0.0
