date,rg_am_net_daily
2024-02-21,3585.0
2024-02-22,-265.0
2024-02-23,-860.0
2024-02-26,-485.0
2024-02-27,-650.0
2024-02-28,0.0
2024-02-29,475.0
2024-03-01,-500.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,384.0
2024-03-07,750.0
2024-03-08,-684.0
2024-03-11,253.0
2024-03-12,-3.0
2024-03-13,250.0
2024-03-14,65.0
2024-03-15,-515.0
2024-03-18,150.0
2024-03-19,2700.0
2024-03-20,-50.0
2024-03-21,-650.0
2024-03-22,-950.0
2024-03-25,-455.0
2024-03-26,-100.0
2024-03-27,1500.0
2024-03-28,4055.0
2024-04-01,-5860.0
2024-04-02,1140.0
2024-04-03,-580.0
2024-04-04,-355.0
2024-04-05,-500.0
2024-04-08,-500.0
2024-04-09,-100.0
2024-04-10,-500.0
2024-04-11,0.0
2024-04-12,-400.0
2024-04-15,0.0
2024-04-16,4950.0
2024-04-17,-800.0
2024-04-18,-1160.0
2024-04-19,-1440.0
2024-04-22,100.0
2024-04-23,-150.0
2024-04-24,0.0
2024-04-25,-300.0
2024-04-26,450.0
2024-04-29,2150.0
2024-04-30,-1145.0
2024-05-01,-2580.0
2024-05-02,-75.0
2024-05-03,1855.0
2024-05-06,-50.0
2024-05-07,-800.0
2024-05-08,-705.0
2024-05-09,0.0
2024-05-10,-150.0
2024-05-13,350.0
2024-05-14,250.0
2024-05-15,200.0
2024-05-16,200.0
2024-05-17,1800.0
2024-05-21,-2650.0
2024-05-22,250.0
2024-05-23,0.0
2024-05-24,-300.0
2024-05-27,200.0
2024-05-28,300.0
2024-05-29,250.0
2024-05-30,1150.0
2024-05-31,-145.0
2024-06-03,0.0
2024-06-04,-200.0
2024-06-05,11850.0
2024-06-06,-6000.0
2024-06-07,0.0
2024-06-10,0.0
2024-06-11,-3810.0
2024-06-12,-840.0
2024-06-13,-950.0
2024-06-14,200.0
2024-06-17,4000.0
2024-06-18,4350.0
2024-06-19,6050.0
2024-06-20,-6150.0
2024-06-21,-100.0
2024-06-24,1250.0
2024-06-25,2000.0
2024-06-26,1050.0
2024-06-27,-1200.0
2024-06-28,-3800.0
2024-07-02,-2250.0
2024-07-03,6200.0
2024-07-04,-850.0
2024-07-05,5200.0
2024-07-08,-3500.0
2024-07-09,-3750.0
2024-07-10,-1690.0
2024-07-11,-1595.0
2024-07-12,4195.0
2024-07-15,95.0
2024-07-16,-655.0
2024-07-17,4900.0
2024-07-18,-2450.0
2024-07-19,600.0
2024-07-22,-4925.0
2024-07-23,-2400.0
2024-07-24,1125.0
2024-07-25,725.0
2024-07-26,3650.0
2024-07-29,-1675.0
2024-07-30,-1700.0
2024-07-31,350.0
2024-08-01,-6650.0
2024-08-02,-150.0
2024-08-06,3250.0
2024-08-07,1000.0
2024-08-08,-2800.0
2024-08-09,6750.0
2024-08-12,-2000.0
2024-08-13,-1800.0
2024-08-14,2500.0
2024-08-15,-1400.0
2024-08-16,-1650.0
2024-08-19,-1250.0
2024-08-20,-2000.0
2024-08-21,100.0
2024-08-22,0.0
2024-08-23,-350.0
2024-08-26,3100.0
2024-08-27,2900.0
2024-08-28,150.0
2024-08-29,1000.0
2024-08-30,1000.0
2024-09-03,-6350.0
2024-09-04,1500.0
2024-09-05,2800.0
2024-09-06,3850.0
2024-09-09,2600.0
2024-09-10,-750.0
2024-09-11,2000.0
2024-09-12,-3000.0
