issuer,kind,isin,auction,settlement,maturity,nominal,cash,cover,yield,source
ESM,bill,EU000A1U97E8,2013-01-08,2013-01-10,2013-04-11,1927.0,1927.0,3.2,,esm_bbk:EU000A1U97E8
ESM,bill,EU000A1U97F5,2013-01-22,2013-01-24,2013-07-25,1970.0,1970.0,2.3,,esm_bbk:EU000A1U97F5
ESM,bill,EU000A1U97G3,2013-02-05,2013-02-07,2013-05-09,1949.0,1949.0,2.4,,esm_bbk:EU000A1U97G3
ESM,bill,EU000A1U97H1,2013-02-19,2013-02-21,2013-08-22,1948.4,1948.4,2.5,,esm_bbk:EU000A1U97H1
ESM,bill,EU000A1U97J7,2013-03-05,2013-03-07,2013-06-06,1973.3,1973.3,2.5,,esm_bbk:EU000A1U97J7
ESM,bill,EU000A1U97K5,2013-03-19,2013-03-21,2013-09-19,1903.6,1903.6,2.7,,esm_bbk:EU000A1U97K5
ESM,bill,EU000A1U97L3,2013-04-09,2013-04-11,2013-07-11,1995.5,1995.5,2.8,,esm_bbk:EU000A1U97L3
ESM,bill,EU000A1U97M1,2013-04-23,2013-04-25,2013-10-24,2941.0,2941.0,1.8,,esm_bbk:EU000A1U97M1
ESM,bill,EU000A1U97N9,2013-05-07,2013-05-09,2013-08-08,2935.95,2935.95,1.8,,esm_bbk:EU000A1U97N9
ESM,bill,EU000A1U97P4,2013-05-21,2013-05-23,2013-11-21,1965.9,1965.9,2.1,,esm_bbk:EU000A1U97P4
ESM,bill,EU000A1U97Q2,2013-06-04,2013-06-06,2013-09-05,1967.8,1967.8,2.6,,esm_bbk:EU000A1U97Q2
ESM,bill,EU000A1U97R0,2013-06-18,2013-06-20,2013-12-19,2999.6,2999.6,1.8,,esm_bbk:EU000A1U97R0
ESM,bill,EU000A1U97S8,2013-07-09,2013-07-11,2013-10-10,1943.75,1943.75,2.8,,esm_bbk:EU000A1U97S8
ESM,bill,EU000A1U97T6,2013-07-23,2013-07-25,2014-01-23,1937.0,1937.0,2.0,,esm_bbk:EU000A1U97T6
ESM,bill,EU000A1U97U4,2013-08-06,2013-08-08,2013-11-07,2958.5,2958.5,1.9,,esm_bbk:EU000A1U97U4
ESM,bill,EU000A1U97V2,2013-08-20,2013-08-22,2014-02-20,1441.8,1441.8,3.2,,esm_bbk:EU000A1U97V2
ESM,bill,EU000A1U97W0,2013-09-03,2013-09-05,2013-12-05,2499.9,2499.9,2.1,,esm_bbk:EU000A1U97W0
ESM,bill,EU000A1U97X8,2013-09-17,2013-09-19,2014-03-20,2442.1,2442.1,2.3,,esm_bbk:EU000A1U97X8
ESM,bill,EU000A1U97Y6,2013-10-01,2013-10-03,2014-01-09,1989.7,1989.7,3.4,,esm_bbk:EU000A1U97Y6
ESM,bill,EU000A1U97Z3,2013-10-22,2013-10-24,2014-04-24,2461.0,2461.0,2.1,,esm_bbk:EU000A1U97Z3
ESM,bill,EU000A1U9704,2013-11-05,2013-11-07,2014-02-06,1972.3,1972.3,2.7,,esm_bbk:EU000A1U9704
ESM,bill,EU000A1U9712,2013-11-19,2013-11-21,2014-05-22,1983.6,1983.6,2.2,,esm_bbk:EU000A1U9712
ESM,bill,EU000A1U9720,2013-12-03,2013-12-05,2014-03-06,1996.65,1996.65,2.7,,esm_bbk:EU000A1U9720
